# Spa-Francorchamps: geometria IDEALIZADA (rectas+circulos+clotoides) + rasante REAL (KML+DEM)
# elevacion via OpenTopoData / EU-DEM 25m; peralte sintetico
# kappa_1pm,elev_m,kerb,peralte_rad  (segmentos de 4.0 m)
-0.002119,-23.75,0,-0.0174
-0.002434,-23.46,0,-0.0218
-0.003542,-23.17,0,-0.0282
-0.004650,-22.87,1,-0.0363
-0.005758,-22.57,1,-0.0462
-0.007851,-22.26,1,-0.0579
-0.009944,-21.95,1,-0.0719
-0.012037,-21.63,1,-0.0874
-0.014130,-21.31,1,-0.1045
-0.017524,-20.99,1,-0.1047
-0.020165,-20.68,1,-0.1047
-0.022805,-20.39,1,-0.1047
-0.025446,-20.11,1,-0.1047
-0.028087,-19.85,1,-0.1047
-0.029051,-19.60,1,-0.1047
-0.030015,-19.37,1,-0.1047
-0.030075,-19.16,1,-0.1047
-0.030134,-18.96,1,-0.1047
-0.030194,-18.77,1,-0.1047
-0.029826,-18.61,1,-0.1047
-0.029458,-18.45,1,-0.1047
-0.029091,-18.32,1,-0.1047
-0.028723,-18.20,1,-0.1047
-0.027587,-18.09,1,-0.1047
-0.026451,-18.00,1,-0.1047
-0.025315,-17.93,1,-0.1047
-0.023105,-17.89,1,-0.1047
-0.020894,-17.88,1,-0.1047
-0.018684,-17.89,1,-0.1047
-0.016473,-17.94,1,-0.1047
-0.012970,-18.02,1,-0.0922
-0.010638,-18.14,1,-0.0739
-0.007456,-18.28,1,-0.0569
-0.005042,-18.45,1,-0.0411
-0.002627,-18.65,0,-0.0287
-0.001655,-18.89,0,-0.0185
-0.000683,-19.15,0,-0.0114
-0.000576,-19.43,0,-0.0066
-0.000470,-19.72,0,-0.0042
-0.000363,-20.02,0,0.0000
-0.000256,-20.33,0,0.0000
-0.000149,-20.66,0,0.0000
-0.000043,-21.00,0,0.0000
0.000064,-21.35,0,0.0000
0.000171,-21.71,0,0.0000
0.000277,-22.08,0,0.0000
0.000384,-22.46,0,0.0000
0.000376,-22.83,0,0.0000
0.000367,-23.19,0,0.0000
0.000359,-23.56,0,0.0000
0.000160,-23.92,0,0.0000
-0.000038,-24.27,0,0.0000
-0.000237,-24.63,0,0.0000
-0.000435,-24.98,0,0.0000
-0.000373,-25.33,0,0.0000
-0.000311,-25.67,0,0.0000
-0.000249,-26.02,0,0.0000
-0.000187,-26.36,0,0.0000
-0.000124,-26.68,0,0.0000
-0.000062,-27.00,0,0.0000
0.000000,-27.30,0,0.0000
-0.000068,-27.59,0,0.0000
-0.000137,-27.86,0,0.0000
-0.000205,-28.12,0,0.0000
-0.000273,-28.37,0,0.0000
-0.000342,-28.60,0,0.0000
-0.000410,-28.82,0,0.0000
-0.000478,-29.03,0,0.0000
-0.000547,-29.23,0,0.0000
-0.000615,-29.41,0,0.0000
-0.000683,-29.58,0,0.0000
-0.000497,-29.73,0,0.0000
-0.000310,-29.88,0,0.0000
-0.000124,-30.00,0,0.0000
0.000063,-30.12,0,0.0000
0.000250,-30.22,0,0.0000
0.000284,-30.31,0,0.0000
0.000318,-30.39,0,0.0000
0.000352,-30.45,0,0.0000
0.000387,-30.50,0,0.0000
0.000421,-30.54,0,0.0000
0.000455,-30.56,0,0.0000
0.000489,-30.57,0,0.0000
0.000524,-30.57,0,0.0000
0.000518,-30.57,0,0.0000
0.000512,-30.56,0,0.0000
0.000506,-30.56,0,0.0000
