# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad,semiancho_m (seg 4.0 m)
0.000256,-20.64,0,0.0073,4.61
-0.000518,-20.66,0,0.0000,4.57
-0.001021,-20.67,0,0.0000,4.53
-0.001265,-20.66,0,-0.0057,4.51
-0.001249,-20.64,0,-0.0067,4.51
-0.001036,-20.61,0,-0.0068,4.51
-0.000884,-20.56,0,-0.0062,4.52
-0.000733,-20.50,0,-0.0051,4.52
-0.000581,-20.43,0,0.0000,4.53
-0.000409,-20.34,0,0.0000,4.53
-0.000222,-20.24,0,0.0000,4.53
-0.000091,-20.13,0,0.0000,4.54
0.000025,-20.01,0,0.0000,4.54
0.000124,-19.87,0,0.0000,4.55
0.000206,-19.72,0,0.0000,4.55
0.000261,-19.56,0,0.0000,4.56
0.000288,-19.40,0,0.0000,4.56
0.000312,-19.25,0,0.0000,4.56
0.000340,-19.09,0,0.0000,4.57
0.000385,-18.93,0,0.0000,4.57
0.000405,-18.78,0,0.0000,4.58
0.000433,-18.62,0,0.0000,4.58
0.000440,-18.46,0,0.0000,4.59
0.000404,-18.30,0,0.0000,4.59
0.000219,-18.15,0,0.0000,4.59
-0.000061,-17.99,0,0.0000,4.60
-0.000412,-17.83,0,0.0000,4.60
-0.000818,-17.68,0,-0.0067,4.61
-0.001296,-17.52,0,-0.0097,4.61
-0.001919,-17.36,0,-0.0130,4.62
-0.002380,-17.21,0,-0.0165,4.62
-0.002849,-17.05,0,-0.0203,4.62
-0.003326,-16.89,0,-0.0246,4.63
-0.003887,-16.74,0,-0.0293,4.63
-0.004677,-16.58,1,-0.0348,4.64
-0.005562,-16.42,1,-0.0415,4.65
-0.006641,-16.27,1,-0.0495,4.66
-0.007901,-16.11,1,-0.0580,4.66
-0.009508,-15.95,1,-0.0666,4.66
-0.011311,-15.79,1,-0.0747,4.64
-0.012432,-15.64,1,-0.0822,4.62
-0.013216,-15.48,1,-0.0881,4.61
-0.013690,-15.32,1,-0.0923,4.64
-0.014173,-15.17,1,-0.0945,4.66
-0.013806,-15.01,1,-0.0953,4.66
-0.013667,-14.85,1,-0.0946,4.66
-0.013494,-14.70,1,-0.0925,4.65
-0.013204,-14.54,1,-0.0888,4.65
-0.012608,-14.38,1,-0.0844,4.64
-0.011549,-14.23,1,-0.0789,4.64
-0.010501,-14.07,1,-0.0721,4.65
-0.009351,-13.91,1,-0.0643,4.67
-0.008170,-13.76,1,-0.0560,4.67
-0.006718,-13.60,1,-0.0475,4.67
-0.005418,-13.44,1,-0.0387,4.66
-0.004259,-13.28,1,-0.0290,4.65
-0.003056,-13.13,0,-0.0184,4.64
-0.001755,-12.97,0,-0.0071,4.63
0.000402,-12.81,0,0.0053,4.62
0.002424,-12.66,0,0.0190,4.61
0.004607,-12.50,1,0.0340,4.60
0.006941,-12.34,1,0.0491,4.60
0.009437,-12.19,1,0.0628,4.61
0.011980,-12.03,1,0.0751,4.64
0.013289,-11.87,1,0.0854,4.65
