# Trazado en planta EDITADO a mano (alignment_editor):
# rectas + circulos + clotoides; rasante conservada
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
0.000000,5.45,0,0.0000
0.000000,5.39,0,0.0000
0.000000,5.34,0,0.0000
0.000000,5.28,0,0.0000
0.000000,5.23,0,0.0000
0.000000,5.19,0,0.0000
0.000000,5.14,0,0.0000
0.000000,5.10,0,0.0000
0.000000,5.06,0,0.0000
0.000000,5.03,0,0.0000
0.000000,4.99,0,0.0000
0.000000,4.96,0,0.0000
0.000000,4.93,0,0.0000
0.000000,4.90,0,0.0000
0.000000,4.85,0,0.0000
0.000000,4.80,0,0.0000
0.000000,4.74,0,0.0000
0.000000,4.67,0,0.0000
0.000000,4.59,0,0.0000
0.000000,4.50,0,0.0000
0.000000,4.41,0,0.0000
0.000000,4.31,0,0.0000
0.000000,4.20,0,0.0000
0.000000,4.08,0,0.0000
0.000000,3.95,0,0.0000
0.000000,3.82,0,0.0000
0.000000,3.68,0,0.0000
0.000000,3.53,0,0.0000
0.000000,3.37,0,0.0000
0.000000,3.20,0,0.0000
0.000000,3.03,0,0.0000
0.000000,2.84,0,0.0000
0.000000,2.65,0,0.0000
0.000000,2.45,0,0.0000
0.000000,2.24,0,0.0000
0.000000,2.03,0,0.0000
0.000000,1.80,0,0.0000
0.000000,1.57,0,0.0000
0.000000,1.33,0,0.0000
0.000000,1.08,0,0.0000
0.000000,0.82,0,0.0000
0.000000,0.56,0,0.0000
0.000000,0.29,0,0.0000
0.000000,0.01,0,0.0000
0.000000,-0.28,0,0.0000
0.000000,-0.58,0,0.0000
0.000000,-0.87,0,0.0000
0.000000,-1.16,0,0.0000
0.000000,-1.44,0,0.0000
0.000000,-1.72,0,0.0000
0.000000,-1.99,0,0.0000
0.000000,-2.26,0,0.0000
0.000000,-2.52,0,0.0000
0.000000,-2.78,0,0.0000
0.000000,-3.03,0,0.0000
0.000000,-3.28,0,0.0000
0.000000,-3.52,0,0.0000
0.000000,-3.75,0,0.0000
0.000000,-3.99,0,0.0000
0.000000,-4.21,0,0.0000
0.000000,-4.43,0,0.0000
0.000000,-4.65,0,0.0000
0.000000,-4.86,0,0.0000
0.000000,-5.06,0,0.0000
0.000000,-5.27,0,0.0000
0.000000,-5.46,0,0.0000
0.000000,-5.65,0,0.0000
0.000000,-5.84,0,0.0000
0.000000,-6.02,0,0.0000
0.000000,-6.19,0,0.0000
0.000000,-6.36,0,0.0000
0.000000,-6.53,0,0.0000
0.000000,-6.69,0,0.0000
0.000000,-6.84,0,0.0000
0.000000,-6.99,0,0.0000
0.000000,-7.14,0,0.0000
0.000000,-7.27,0,0.0000
0.000000,-7.41,0,0.0000
0.000000,-7.54,0,0.0000
0.000000,-7.66,0,0.0000
0.000000,-7.78,0,0.0000
0.000000,-7.90,0,0.0000
0.000000,-8.00,0,0.0000
0.000000,-8.11,0,0.0000
0.000000,-8.21,0,0.0000
0.000000,-8.30,0,0.0000
0.000000,-8.39,0,0.0000
0.000000,-8.47,0,0.0000
0.000000,-8.55,0,0.0000
0.000000,-8.62,0,0.0000
0.000000,-8.69,0,0.0000
0.000000,-8.75,0,0.0000
0.000000,-8.81,0,0.0000
0.000000,-8.87,0,0.0000
0.000000,-8.92,0,0.0000
0.000000,-8.98,0,0.0000
0.000000,-9.03,0,0.0000
0.000000,-9.08,0,0.0000
0.000000,-9.14,0,0.0000
0.000000,-9.19,0,0.0000
0.000000,-9.24,0,0.0000
0.000000,-9.28,0,0.0000
0.000000,-9.33,0,0.0000
0.000000,-9.38,0,0.0000
0.000000,-9.42,0,0.0000
0.000000,-9.47,0,0.0000
0.000000,-9.51,0,0.0000
0.000000,-9.55,0,0.0000
0.000000,-9.59,0,0.0000
0.000000,-9.63,0,0.0000
0.000000,-9.67,0,0.0000
0.000000,-9.71,0,0.0000
0.000000,-9.74,0,0.0000
0.000000,-9.78,0,0.0000
0.000000,-9.81,0,0.0000
0.000000,-9.85,0,0.0000
0.000000,-9.88,0,0.0000
0.000000,-9.91,0,0.0000
0.000000,-9.94,0,0.0000
0.000000,-9.97,0,0.0000
0.000000,-9.99,0,0.0000
0.000000,-10.02,0,0.0000
0.000000,-10.05,0,0.0000
0.000000,-10.07,0,0.0000
0.000000,-10.10,0,0.0000
0.000000,-10.12,0,0.0000
0.000000,-10.14,0,0.0000
0.000000,-10.16,0,0.0000
0.000000,-10.18,0,0.0000
0.000000,-10.20,0,0.0000
0.000000,-10.21,0,0.0000
0.000000,-10.24,0,0.0000
0.000000,-10.27,0,0.0000
0.000000,-10.32,0,0.0000
-0.000130,-10.37,0,0.0000
-0.000297,-10.43,0,0.0000
-0.000463,-10.50,0,0.0000
-0.000630,-10.57,0,-0.0044
-0.000796,-10.66,0,-0.0056
-0.000963,-10.75,0,-0.0067
-0.001130,-10.86,0,-0.0079
-0.001296,-10.97,0,-0.0091
-0.001463,-11.09,0,-0.0101
-0.001629,-11.22,0,-0.0109
-0.001785,-11.35,0,-0.0115
-0.001785,-11.50,0,-0.0120
-0.001785,-11.65,0,-0.0123
-0.001785,-11.82,0,-0.0125
-0.001785,-11.99,0,-0.0125
-0.001785,-12.17,0,-0.0125
-0.001785,-12.36,0,-0.0125
-0.001785,-12.55,0,-0.0125
-0.001785,-12.76,0,-0.0125
-0.001785,-12.98,0,-0.0125
-0.001785,-13.20,0,-0.0125
-0.001785,-13.43,0,-0.0124
-0.001785,-13.67,0,-0.0123
-0.001785,-13.92,0,-0.0120
-0.001710,-14.18,0,-0.0117
-0.001623,-14.44,0,-0.0113
-0.001536,-14.72,0,-0.0107
-0.001449,-15.00,0,-0.0101
-0.001362,-15.29,0,-0.0095
-0.001275,-15.59,0,-0.0089
-0.001188,-15.90,0,-0.0083
-0.001101,-16.22,0,-0.0077
-0.001014,-16.54,0,-0.0071
-0.000927,-16.88,0,-0.0065
-0.000840,-17.21,0,-0.0059
-0.000753,-17.54,0,-0.0053
-0.000666,-17.87,0,-0.0047
-0.000579,-18.20,0,-0.0041
-0.000492,-18.53,0,0.0000
-0.000405,-18.85,0,0.0000
-0.000318,-19.17,0,0.0000
-0.000231,-19.50,0,0.0000
-0.000144,-19.81,0,0.0000
-0.000057,-20.13,0,0.0000
0.000000,-20.45,0,0.0000
0.000000,-20.76,0,0.0000
0.000000,-21.07,0,0.0000
0.000000,-21.38,0,0.0000
0.000000,-21.69,0,0.0000
0.000000,-22.00,0,0.0000
0.000000,-22.31,0,0.0000
0.000000,-22.61,0,0.0000
0.000000,-22.91,0,0.0000
0.000000,-23.21,0,0.0000
0.000000,-23.51,0,0.0000
0.000000,-23.81,0,0.0000
0.000000,-24.10,0,0.0000
0.000000,-24.40,0,0.0000
0.000000,-24.69,0,0.0000
0.000000,-24.98,0,0.0000
0.000000,-25.27,0,0.0000
0.000000,-25.56,0,0.0000
0.000000,-25.87,0,0.0000
0.000000,-26.18,0,0.0000
0.000000,-26.50,0,0.0000
0.000000,-26.83,0,0.0000
0.000000,-27.16,0,0.0000
0.000000,-27.50,0,0.0000
0.000000,-27.85,0,0.0000
0.000000,-28.21,0,0.0000
0.000000,-28.58,0,0.0000
0.000000,-28.95,0,0.0000
0.000000,-29.34,0,0.0000
0.000000,-29.73,0,0.0000
0.000000,-30.12,0,0.0000
0.000000,-30.53,0,0.0000
0.000000,-30.94,0,0.0000
0.000000,-31.36,0,0.0000
0.000149,-31.79,0,0.0000
0.000330,-32.23,0,0.0000
0.000512,-32.67,0,0.0000
0.000693,-33.13,0,0.0049
0.000874,-33.59,0,0.0061
0.001056,-34.06,0,0.0074
0.001237,-34.53,0,0.0087
0.001419,-35.02,0,0.0099
0.001600,-35.51,0,0.0112
0.001782,-36.01,0,0.0125
0.001963,-36.51,0,0.0136
0.002144,-37.03,0,0.0146
0.002326,-37.55,0,0.0154
0.002405,-38.08,0,0.0161
0.002405,-38.62,0,0.0165
0.002405,-39.17,0,0.0168
0.002405,-39.70,0,0.0168
0.002405,-40.23,0,0.0168
0.002405,-40.75,0,0.0168
0.002405,-41.27,0,0.0168
